_id                                | _creationTime      | assists | cleanSheets | country         | goals | notes                                                                                                                                                                                                                                                                                                          | playerId                                           | playerName        | updatedAt    
-----------------------------------|--------------------|---|---|-----------------|---|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------|-------------------|--------------
"j97v36mefsg2tntaxg203758cs895ry4" | 1782150145902.339  | 0 | 0 | "Egypt"         | 1 | "NZL 1-3 EGY 2026-06-21: Sky/Guardian confirm Trezeguet Egypt third goal; Sky reports Salah assisted. Sources: skysports.com/football/news/35849/13553798 guardian live. Synced 2026-06-22T17:38Z"                                                                                                             | "official:egypt:goalGetter:m-trezeguet"            | "M. TREZEGUET"    | 1782150145902
"j97mq21ae6kr2gj2d6n788y5m1895v7m" | 1782150135647.5806 | 0 | 0 | "Egypt"         | 1 | "NZL 1-3 EGY 2026-06-21: Sky/Guardian confirm Trezeguet Egypt third goal; Sky reports Salah assisted. Sources: skysports.com/football/news/35849/13553798 guardian live. Synced 2026-06-22T17:38Z"                                                                                                             | "official:egypt:star:m-trezeguet"                  | "M. TREZEGUET"    | 1782150135647
"j97mqzb838m1ye9wwsfwdbymsn89592m" | 1782090724032.9587 | 0 | 1 | "Iran"          | 0 | "Belgium 0-0 Iran, 2026-06-21: FOX lineup lists Khalilzadeh starter; mapped to roster Shoja. Synced 2026-06-22T01:08Z"                                                                                                                                                                                         | "official:iran:wildcard:shoja"                     | "SHOJA"           | 1782090724033
"j97g8ve11wjhj29wxsbn1asbp18958nj" | 1782090722797.8186 | 0 | 1 | "Iran"          | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final and lineups; Iran clean sheet, Hajisafi starter. Synced 2026-06-22T01:08Z"                                                                                                                                                                                       | "official:iran:wildcard:e-hajisafi"                | "E. HAJISAFI"     | 1782090722797
"j97jy30yfv7gz0mrb41xgzw145895szq" | 1782090721439.524  | 0 | 1 | "Iran"          | 0 | "Belgium 0-0 Iran, 2026-06-21: FOX lineup lists Hardani starter; mapped to roster Saleh. Synced 2026-06-22T01:08Z"                                                                                                                                                                                             | "official:iran:wildcard:saleh"                     | "SALEH"           | 1782090721439
"j97j3c0ab2n4a7z7yhvr9rqey18956j8" | 1782090720120.0532 | 0 | 1 | "Iran"          | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final and lineups; Iran clean sheet, Beiranvand starter. Synced 2026-06-22T01:08Z"                                                                                                                                                                                     | "official:iran:wildcard:beiranvand"                | "BEIRANVAND"      | 1782090720120
"j97snaq95j7z95db2j69nbp73d895a9d" | 1782090718944.8145 | 0 | 1 | "Iran"          | 0 | "Belgium 0-0 Iran, 2026-06-21: FOX lineup lists Khalilzadeh starter; mapped to roster Shoja. Synced 2026-06-22T01:08Z"                                                                                                                                                                                         | "official:iran:defenderKeeper:shoja"               | "SHOJA"           | 1782090718944
"j97y9xget2dwgtng7vaaab53v1894nkd" | 1782090717729.2683 | 0 | 1 | "Iran"          | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final and lineups; Iran clean sheet, Hajisafi starter. Synced 2026-06-22T01:08Z"                                                                                                                                                                                       | "official:iran:defenderKeeper:e-hajisafi"          | "E. HAJISAFI"     | 1782090717729
"j97hc55wxseh5hbzsd2qpzzfvx8948pv" | 1782090716552.4424 | 0 | 1 | "Iran"          | 0 | "Belgium 0-0 Iran, 2026-06-21: FOX lineup lists Hardani starter; mapped to roster Saleh. Synced 2026-06-22T01:08Z"                                                                                                                                                                                             | "official:iran:defenderKeeper:saleh"               | "SALEH"           | 1782090716552
"j97nnkc6yjkbrqd7xjnsqc5xan895fkz" | 1782090715325.362  | 0 | 1 | "Iran"          | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final and lineups; Iran clean sheet, Beiranvand starter. Synced 2026-06-22T01:08Z"                                                                                                                                                                                     | "official:iran:defenderKeeper:beiranvand"          | "BEIRANVAND"      | 1782090715325
"j97gx7nzaxxsn5bxfctpvr9k3d895y58" | 1782090714107.2063 | 0 | 1 | "Belgium"       | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final and lineups; Belgium clean sheet, De Cuyper starter. Synced 2026-06-22T01:08Z"                                                                                                                                                                                   | "official:belgium:wildcard:de-cuyper"              | "DE CUYPER"       | 1782090714107
"j97m255t16yrby51ra766fcj61894t6b" | 1782090712905.7285 | 0 | 1 | "Belgium"       | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final and lineups; Belgium clean sheet, Mechele starter. Synced 2026-06-22T01:08Z"                                                                                                                                                                                     | "official:belgium:wildcard:mechele"                | "MECHELE"         | 1782090712905
"j97h4ykdpmvs76m7pd17mf4gdh8940xw" | 1782090711579.1943 | 0 | 1 | "Belgium"       | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final and lineups; Belgium clean sheet, Courtois starter. Synced 2026-06-22T01:08Z"                                                                                                                                                                                    | "official:belgium:wildcard:courtois"               | "COURTOIS"        | 1782090711579
"j97pjrefw53nz9tagdhf4rapkx8940e8" | 1782090710437.1475 | 0 | 1 | "Belgium"       | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final and lineups; Belgium clean sheet, De Cuyper starter. Synced 2026-06-22T01:08Z"                                                                                                                                                                                   | "official:belgium:defenderKeeper:de-cuyper"        | "DE CUYPER"       | 1782090710437
"j97xkjmn1kmfsmj53c3gss2fxs894mfx" | 1782090709111.2732 | 0 | 1 | "Belgium"       | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final and lineups; Belgium clean sheet, Mechele starter. Synced 2026-06-22T01:08Z"                                                                                                                                                                                     | "official:belgium:defenderKeeper:mechele"          | "MECHELE"         | 1782090709111
"j97msfk30h05dkjcqkyy6qatm1895nyn" | 1782090706653.5222 | 0 | 0 | "Belgium"       | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final; De Bruyne started, no goal/assist. Synced 2026-06-22T01:08Z"                                                                                                                                                                                                    | "official:belgium:star:de-bruyne"                  | "DE BRUYNE"       | 1782090706653
"j97j2561924ys9yz5rm9e8r82h894a1h" | 1782090705455.024  | 0 | 0 | "Belgium"       | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final; De Bruyne started, no goal/assist. Synced 2026-06-22T01:08Z"                                                                                                                                                                                                    | "official:belgium:playmaker:de-bruyne"             | "DE BRUYNE"       | 1782090705455
"j97g58xp1ps3h5wynnjaacvkm9894j76" | 1782090665380.6235 | 0 | 0 | "Belgium"       | 0 | "Belgium 0-0 Iran, 2026-06-21: ESPN/FOX final; De Bruyne started, no goal/assist. Synced 2026-06-22T01:08Z"                                                                                                                                                                                                    | "debruyne"                                         | "Kevin De Bruyne" | 1782090665380
