_id                                | _creationTime      | assists | cleanSheets | country                  | goals | notes                                                                                                                                                                                                                                                                                                                                                                                   | playerId                                                   | playerName          | updatedAt    
-----------------------------------|--------------------|---|---|--------------------------|---|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------|---------------------|--------------
"z971wmd5a42j02dqyt3kpt0pe588r5cb" | 1781583121760.7969 | 0 | 0 | "Iran"                   | 1 | "IRN 2-2 NZL 2026-06-15: FIFA match centre result; AP confirms Just 7/54, Wood assists both, Rezaeian 32 + assist Mohebi 64. Sources: fifa.com/en/match-centre/match/17/285023/289273/400021476 apnews.com/article/314655749d94fe577bb2b52ebd6b32c4 Synced 2026-06-16T04:15Z"                                                                                                           | "official:iran:playmaker:m-mohebi"                         | "M. MOHEBI"         | 1781583077374
"z97ey2tcxf3mrwzegxzgbzrw3n88r34z" | 1781583121760.7966 | 0 | 0 | "Iran"                   | 1 | "IRN 2-2 NZL 2026-06-15: FIFA match centre result; AP confirms Just 7/54, Wood assists both, Rezaeian 32 + assist Mohebi 64. Sources: fifa.com/en/match-centre/match/17/285023/289273/400021476 apnews.com/article/314655749d94fe577bb2b52ebd6b32c4 Synced 2026-06-16T04:15Z"                                                                                                           | "official:iran:star:m-mohebi"                              | "M. MOHEBI"         | 1781583077374
"z974vrd2xkx46cbdwvrrmns27s88smrn" | 1781583121760.7964 | 2 | 0 | "New Zealand"            | 0 | "IRN 2-2 NZL 2026-06-15: FIFA match centre result; AP confirms Just 7/54, Wood assists both, Rezaeian 32 + assist Mohebi 64. Sources: fifa.com/en/match-centre/match/17/285023/289273/400021476 apnews.com/article/314655749d94fe577bb2b52ebd6b32c4 Synced 2026-06-16T04:15Z"                                                                                                           | "official:new-zealand:goalGetter:wood"                     | "WOOD"              | 1781583077374
"z97acr6bg9fkymrwcrhd1cd45d88rq49" | 1781583121760.7961 | 2 | 0 | "New Zealand"            | 0 | "IRN 2-2 NZL 2026-06-15: FIFA match centre result; AP confirms Just 7/54, Wood assists both, Rezaeian 32 + assist Mohebi 64. Sources: fifa.com/en/match-centre/match/17/285023/289273/400021476 apnews.com/article/314655749d94fe577bb2b52ebd6b32c4 Synced 2026-06-16T04:15Z"                                                                                                           | "official:new-zealand:star:wood"                           | "WOOD"              | 1781583077374
"z97d77nardvrg4c7tfwf7t4d0588sk9s" | 1781583121760.796  | 0 | 0 | "New Zealand"            | 2 | "IRN 2-2 NZL 2026-06-15: FIFA match centre result; AP confirms Just 7/54, Wood assists both, Rezaeian 32 + assist Mohebi 64. Sources: fifa.com/en/match-centre/match/17/285023/289273/400021476 apnews.com/article/314655749d94fe577bb2b52ebd6b32c4 Synced 2026-06-16T04:15Z"                                                                                                           | "official:new-zealand:playmaker:just"                      | "JUST"              | 1781583077374
"z97dr1y37g8083ed4n2fhxchah88rbtd" | 1781583121760.7957 | 0 | 0 | "New Zealand"            | 2 | "IRN 2-2 NZL 2026-06-15: FIFA match centre result; AP confirms Just 7/54, Wood assists both, Rezaeian 32 + assist Mohebi 64. Sources: fifa.com/en/match-centre/match/17/285023/289273/400021476 apnews.com/article/314655749d94fe577bb2b52ebd6b32c4 Synced 2026-06-16T04:15Z"                                                                                                           | "official:new-zealand:star:just"                           | "JUST"              | 1781583077374
"z979aqtfggqxtrrw6y6bdzb3z988rjcx" | 1781577855498.38   | 0 | 0 | "Saudi Arabia"           | 1 | "KSA 1-1 URU 2026-06-15: FOX boxscore 647630 and Guardian confirm A. Alamri/Al-Amri goal 41; no assist credited, no CS. Sources: https://www.foxsports.com/soccer/fifa-world-cup-men-saudi-arabia-vs-uruguay-jun-15-2026-game-boxscore-647630 https://www.theguardian.com/football/live/2026/jun/15/saudi-arabia-v-uruguay-world-cup-2026-live Synced 2026-06-16T02:42Z"                | "official:saudi-arabia:wildcard:alamri"                    | "ALAMRI"            | 1781577773000
"z97deqw0x2rr77tkz8mrm1zm8588smd6" | 1781577855498.3796 | 0 | 0 | "Saudi Arabia"           | 1 | "KSA 1-1 URU 2026-06-15: FOX boxscore 647630 and Guardian confirm A. Alamri/Al-Amri goal 41; no assist credited, no CS. Sources: https://www.foxsports.com/soccer/fifa-world-cup-men-saudi-arabia-vs-uruguay-jun-15-2026-game-boxscore-647630 https://www.theguardian.com/football/live/2026/jun/15/saudi-arabia-v-uruguay-world-cup-2026-live Synced 2026-06-16T02:42Z"                | "official:saudi-arabia:defenderKeeper:alamri"              | "ALAMRI"            | 1781577773000
"z97dqdg2jbmhd94dcb562kxj3d88r8m9" | 1781577855498.3794 | 1 | 0 | "Egypt"                  | 0 | "BEL 1-1 EGY 2026-06-15: FOX boxscore 647629: Ashour 20 goal assisted by Salah; ESPN confirms Ashour 20/Hany 66 OG. Sources: https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-egypt-jun-15-2026-game-boxscore-647629 https://www.espn.com/soccer/report/_/gameId/760426 Synced 2026-06-16T02:42Z"                                                                         | "salah"                                                    | "Mohamed Salah"     | 1781577773000
"z97ad1cgmenks7j745qmnszj2188r4eb" | 1781577855498.3792 | 1 | 0 | "Egypt"                  | 0 | "BEL 1-1 EGY 2026-06-15: FOX boxscore 647629: Ashour 20 goal assisted by Salah; ESPN confirms Ashour 20/Hany 66 OG. Sources: https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-egypt-jun-15-2026-game-boxscore-647629 https://www.espn.com/soccer/report/_/gameId/760426 Synced 2026-06-16T02:42Z"                                                                         | "official:egypt:goalGetter:m-salah"                        | "M. SALAH"          | 1781577773000
"z97fg6976w1weg27qt7gt8126h88sd3d" | 1781577855498.379  | 1 | 0 | "Egypt"                  | 0 | "BEL 1-1 EGY 2026-06-15: FOX boxscore 647629: Ashour 20 goal assisted by Salah; ESPN confirms Ashour 20/Hany 66 OG. Sources: https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-egypt-jun-15-2026-game-boxscore-647629 https://www.espn.com/soccer/report/_/gameId/760426 Synced 2026-06-16T02:42Z"                                                                         | "official:egypt:star:m-salah"                              | "M. SALAH"          | 1781577773000
